x,y,alpha,err
3.0000000000000000e+00,3.0000000000000000e+00,7.1743893521430080e-01,0.0000000000000000e+00
3.0000000000000000e+00,4.0000000000000000e+00,7.4535599249992990e-01,0.0000000000000000e+00
3.0000000000000000e+00,5.0000000000000000e+00,7.7014401325043669e-01,0.0000000000000000e+00
3.0000000000000000e+00,6.0000000000000000e+00,7.9148886915741723e-01,0.0000000000000000e+00
3.0000000000000000e+00,7.0000000000000000e+00,8.0971640503597908e-01,0.0000000000000000e+00
3.0000000000000000e+00,8.0000000000000000e+00,8.2530148684480353e-01,1.1102230246251565e-16
3.0000000000000000e+00,9.0000000000000000e+00,8.3869805859213054e-01,1.1102230246251565e-16
3.0000000000000000e+00,1.0000000000000000e+01,8.5029263757204421e-01,1.1102230246251565e-16
3.0000000000000000e+00,1.1000000000000000e+01,8.6040067673533260e-01,0.0000000000000000e+00
3.0000000000000000e+00,1.2000000000000000e+01,8.6927578084148704e-01,1.1102230246251565e-16
3.0000000000000000e+00,1.3000000000000000e+01,8.7712121627872131e-01,0.0000000000000000e+00
3.0000000000000000e+00,1.4000000000000000e+01,8.8410034308908392e-01,0.0000000000000000e+00
3.0000000000000000e+00,1.5000000000000000e+01,8.9034517025002902e-01,0.0000000000000000e+00
3.0000000000000000e+00,1.6000000000000000e+01,8.9596309630596582e-01,1.1102230246251565e-16
3.0000000000000000e+00,1.7000000000000000e+01,9.0104213500527508e-01,0.0000000000000000e+00
3.0000000000000000e+00,1.8000000000000000e+01,9.0565494650767586e-01,1.1102230246251565e-16
3.0000000000000000e+00,1.9000000000000000e+01,9.0986194978399371e-01,1.1102230246251565e-16
3.0000000000000000e+00,2.0000000000000000e+01,9.1371373507102227e-01,0.0000000000000000e+00
3.0000000000000000e+00,2.1000000000000000e+01,9.1725294424560011e-01,0.0000000000000000e+00
3.0000000000000000e+00,2.2000000000000000e+01,9.2051574591677510e-01,1.1102230246251565e-16
3.0000000000000000e+00,2.3000000000000000e+01,9.2353300048912235e-01,0.0000000000000000e+00
3.0000000000000000e+00,2.4000000000000000e+01,9.2633118673760628e-01,1.1102230246251565e-16
3.0000000000000000e+00,2.5000000000000000e+01,9.2893314377569414e-01,1.1102230246251565e-16
3.0000000000000000e+00,2.6000000000000000e+01,9.3135866918338739e-01,0.0000000000000000e+00
3.0000000000000000e+00,2.7000000000000000e+01,9.3362500431041173e-01,0.0000000000000000e+00
3.0000000000000000e+00,2.8000000000000000e+01,9.3574723049488895e-01,0.0000000000000000e+00
3.0000000000000000e+00,2.9000000000000000e+01,9.3773859448486152e-01,1.1102230246251565e-16
3.0000000000000000e+00,3.0000000000000000e+01,9.3961077724029018e-01,0.0000000000000000e+00
3.0000000000000000e+00,3.1000000000000000e+01,9.4137411717734520e-01,1.1102230246251565e-16
3.0000000000000000e+00,3.2000000000000000e+01,9.4303779654006503e-01,1.1102230246251565e-16
3.0000000000000000e+00,3.3000000000000000e+01,9.4460999776020438e-01,0.0000000000000000e+00
3.0000000000000000e+00,3.4000000000000000e+01,9.4609803525726677e-01,1.1102230246251565e-16
3.0000000000000000e+00,3.5000000000000000e+01,9.4750846703609382e-01,0.0000000000000000e+00
3.0000000000000000e+00,3.6000000000000000e+01,9.4884718958383507e-01,1.1102230246251565e-16
3.0000000000000000e+00,3.7000000000000000e+01,9.5011951889558066e-01,1.1102230246251565e-16
3.0000000000000000e+00,3.8000000000000000e+01,9.5133025992626752e-01,0.0000000000000000e+00
3.0000000000000000e+00,3.9000000000000000e+01,9.5248376634392207e-01,1.1102230246251565e-16
3.0000000000000000e+00,4.0000000000000000e+01,9.5358399212168321e-01,0.0000000000000000e+00
3.0000000000000000e+00,4.1000000000000000e+01,9.5463453623496541e-01,2.2204460492503131e-16
3.0000000000000000e+00,4.2000000000000000e+01,9.5563868151136822e-01,0.0000000000000000e+00
3.0000000000000000e+00,4.3000000000000000e+01,9.5659942850362067e-01,0.0000000000000000e+00
3.0000000000000000e+00,4.4000000000000000e+01,9.5751952511143179e-01,0.0000000000000000e+00
3.0000000000000000e+00,4.5000000000000000e+01,9.5840149256002882e-01,0.0000000000000000e+00
3.0000000000000000e+00,4.6000000000000000e+01,9.5924764824615849e-01,1.1102230246251565e-16
